₩,항목,발견된 이슈 및 현상,AI 개발 프롬프트,우선순위,완료여부
228,대전 진입 스플래시 화면 연출 시 캔버스 2D filter: blur() 그래픽 처리 제거 및 정적 알파 오버레이 전환,대전 진입 시 배경 캔버스에 적용된 실시간 filter: blur() 속성이 저사양 안드로이드 GPU에서 초반 카드 렌더링 프레임을 떨어뜨림.,"Remove Real-Time Canvas `filter: blur()` on Match Start (`BattleScene.vue`). Replace dynamic canvas blur filters with a static 2D translucent dark backdrop overlay (`rgba(10, 12, 20, 0.9)`), ensuring zero GPU frame drops during initial card deck loading.",높음,
229,캐릭터 주식 시장(Stock Market) 모달 상단 유저 잔액 및 개장 상태 표기의 미니멀 1줄 헤더 정돈,"주식 거래 모달 상단에 SUI 잔액, SNS 토큰 잔액, 개장 시간 타이머가 사방으로 나열되어 가독성이 낮아짐.","Consolidate Stock Market Header Info per design.md (`StockMarketModal.vue`). Merge account balance displays and market status timers into a single 1-line top header pill bar, maximizing visible space for price charts and order buttons.",중간,
230,Vue Router 동적 임포트(import()) 적용을 통한 초기 JS 번들 파싱/컴파일 레이턴시 최적화,초기 번들 내 모든 뷰 컴포넌트가 단일 파일로 묶여 있어 저사양 기기 진입 시 초반 자바스크립트 구문 분석 시간이 길어짐.,"Implement Vue Router Async Component Lazy Loading (`router.js`). Split heavy view modals into dynamic imports (`import('./views/ShopView.vue')`) with route-level lazy chunking, accelerating initial app parse/compile time on low-spec mobile devices.",높음,
231,캐릭터 주식 거래 모달 내부 호가창 및 체결 내역 리스트의 1줄 미니멀 행 레이아웃 정돈,주식 거래 모달에서 최근 거래 체결 내역 및 호가창 테이블이 큰 행 간격과 대형 서식으로 배치되어 매수/매도 수량 입력창을 가림.,"Compact Stock Market Order Book Table per design.md (`StockMarketModal.vue`). Reduce order book row padding to a single compact line showing Price and Volume, keeping order execution controls fully visible without vertical scrolling.",중간,
232,스토리 모드 대화 모달 진입 시 인게임 BGM 오디오 컨텍스트 일시정지(suspend()),대화 모달 진입 시 BGM 스트림과 대화 효과음 오디오 컨텍스트가 동시에 구동되어 오디오 스레드 메모리 오버헤드 발생.,"Suspend Background BGM Stream during Dialogue Overlay (`AudioService.js`). Pause main background music audio context processing when dialogue overlays are active, reducing client CPU/audio thread load on low-spec WebViews.",중간,
233,카드 수집 도감(Codex) 화면 내 속성별 수집률 미니 뱃지의 1줄 헤더 통합,도감 화면 진입 시 수/화/지/풍속성별 개별 달성률 수치 뱃지가 수평으로 넓게 늘어서 있어 도감 카드 그리드 목록 영역이 눌림.,"Integrate Element Codex Progress Badges per design.md (`CardCodexView.vue`). Consolidate individual element progress badges into a single compact top header pill (`[Collection 45/100 ▾]`), expanding visible card grid rows.",중간,
234,스토리 대화 모달 인물 스탠딩 교체 시 CSS will-change: opacity 동적 할당 및 교체 후 스케줄러 해제,대화 진행 중 등장인물이 전환될 때 인물 포지션 요소에 will-change 속성이 고정 지정되어 있어 GPU 레이어 메모리 점유율이 높아짐.,"Schedule Character Fade Layer Promotion (`StoryDialogueModal.vue`). Attach `will-change: opacity` to character artwork elements only during active cross-fade transitions and remove it on `transitionend`, keeping GPU compositor layer memory lean.",높음,
235,퀘스트 / 업적 모달 내부 일일 미션 보상 수령 버튼의 컴팩트 단일 뱃지화([ Claim ]) 정돈,완료된 퀘스트 항목마다 크고 화려한 애니메이션 수령 버튼이 크게 붙어있어 미션 제목과 설명 영역이 가려짐.,"Streamline Quest Claim Action Button per design.md (`QuestModal.vue`). Replace large animated reward claim buttons with a sleek, compact 1-line 'Claim' pill button (`bg-cyan-600 text-xs px-3 py-1`), maximizing visible text space for mission objectives.",중간,
236,대전 승리/패배 결과 화면의 카드 EXP 게이지 프로그래스 애니메이션 requestAnimationFrame 디바운싱,전투 완료 후 참전 카드 5장의 EXP 게이지가 채워질 때 JS 타이머 루프가 5개 동시에 실행되어 결과 화면 진입 시 마이크로 스터터링 발생.,"Batch Victory Card EXP Bar Fill Animations (`BattleResult.vue`). Combine EXP fill progress ticks for all 5 participating cards into a single `requestAnimationFrame` loop tick, eliminating multi-timer thread thrashing on low-end WebViews.",높음,
237,카드 스킬 업그레이드 트리 화면의 노드 레벨 표시 뱃지의 미니멀 코너 태그 통합,스킬 노드 아이콘 위에 현재 스킬 레벨과 스킬 이름이 크게 붙어 있어 스킬 트리의 아이콘과 연결선 가독성이 떨어짐.,"Compact Skill Node Level Indicator per design.md (`SkillNodeTree.vue`). Replace large text labels on skill nodes with a tiny translucent corner level badge (`3/5`), displaying full skill titles only upon active node selection.",중간,
238,메인 로비/마이덱 탭 전환 시 CSS transform 슬라이드 애니메이션 시간 축소(100ms) 및 레이아웃 재계산 최소화,탭 전환 시 적용된 300ms 슬라이드 애니메이션이 저사양 WebView에서 탭 전환 중간 멈칫하는 마이크로 스터터링을 일으킴.,"Shorten Route View Transition Durations (`AppLayout.vue`). Reduce view transition duration to a fast 100ms 2D opacity cross-fade, bypassing complex horizontal slide keyframes to ensure instant 60fps tab switching on low-spec mobile WebViews.",높음,
239,마이덱 구성 화면 내 '대표 덱 전투력(TP)' 수치 표기 컴팩트 헤더 뱃지 통합,마이덱 화면 상단에 덱 총 전투력 수치가 큰 텍스트 박스로 자리를 차지하여 카드 인벤토리 보드가 아래로 밀림.,"Compact Total Deck Power Badge per design.md (`DeckBuilder.vue`). Merge total deck power (TP) value into a single sleek glowing header pill (`[⚡ TP 12.4K]`) beside the deck preset tabs, maximizing vertical screen area for the card inventory grid.",중간,
240,스토리 모드 웹툰 뷰어 모달 닫기 시 Canvas 디코딩 이미지 버퍼 자원 인스턴스 즉시 파기,웹툰 감상 모달을 열어 연속 에피소드를 읽은 후 모달을 닫았을 때 Image 태그의 src 속성이 비워지지 않아 RAM 소모가 유지됨.,"Clear Webtoon Image Source Bindings on Unmount (`WebtoonViewer.vue`). Explicitly set `img.src = ''` and detach DOM image references upon closing the webtoon modal, allowing instant garbage collection of decoded image RAM.",높음,
241,캐릭터 주식 시장(Stock Market) 거래 모달 내 '보유 잔액' 및 '매수/매도 수량' 1줄 컴팩트 제어기 전환,주식 거래 모달에서 토큰 잔액과 수량 조절 버튼이 수직으로 길게 연결되어 있어 주문 확인 버튼이 모바일 화면 아래로 쏠림.,"Streamline Stock Order Input Controls per design.md (`StockMarketModal.vue`). Integrate user available token balance and quantity stepper into a unified 1-line control bar (`[Bal: 1,000 SNS] [- 10 +]`), keeping order confirmation buttons cleanly centered on mobile screens.",중간,
242,스토리 대화창 선택지 클릭 시 CSS animation 키프레임 대신 2D opacity 트랜지션 전환,대화 선택지 버튼 클릭 시 적용된 3D Scale & Shimmer 키프레임 애니메이션이 안드로이드 구형 WebView에서 터치 피드백 지연을 일으킴.,"Simplify Dialogue Option Click Feedback (`StoryChoiceModal.vue`). Replace CSS keyframe shimmer animations on option button clicks with a lightweight 100ms 2D opacity feedback effect (`active:opacity-80`), ensuring instant touch response on low-spec mobile WebViews.",높음,
243,퀘스트 모달 내 '주간 퀘스트' 및 '누적 업적' 수령 완료 항목의 1줄 카테고리 접힘 바 정돈,주간 퀘스트 및 업적 목록에서 이미 보상을 받은 항목들이 회색 카드로 길게 남아있어 활성 업적을 찾기 위해 스크롤을 길게 내려야 함.,"Auto-Group Completed Weekly Quests per design.md (`QuestModal.vue`). Automatically collapse completed weekly and achievement rows into a single 1-line 'Completed' toggle section at the bottom of the list, keeping active tasks clean and unobstructed.",중간,
244,대전 승리/패배 결과 화면의 카드 EXP 텍스트 게이지 가상 DOM 업데이트 가속,대전 후 참전 카드의 경험치가 올라갈 때 숫자가 1씩 증가하는 타이머 루프가 매 순간 가상 DOM 재비교를 일으켜 결과 모달이 버벅임.,Optimize Card EXP Counter Text Mutations (`BattleResult.vue`). Directly mutate the DOM `textContent` node for active EXP number counters instead of triggering full Vue reactive component re-renders during numerical counter ticks.,높음,
245,카드 스킬 노드 강화 트리 화면의 서브 스킬 레벨 업 버튼의 컴팩트 1줄 바 통합,"스킬 트리에서 선택된 스킬 노드 주변에 필요 포인트, 현재 레벨, 강화 버튼이 따로 떨어져 있어 모듈 화면이 산만함.","Consolidate Skill Node Action Control Bar per design.md (`SkillNodeTree.vue`). Merge required skill points, level status, and the 'Upgrade' button into a single sleek horizontal 1-line action pill bar below the node, maintaining skill tree visual clarity.",중간,
246,"스토리 모드 웹툰 뷰어 이미지 인라인 loading=""lazy"" 및 decoding=""async"" 네이티브 파싱 적용",스토리 웹툰 모달에서 이미지들이 모달 오픈과 동시에 동기로 내려받아지며 디코딩되어 저사양 기기에서 스크롤 지연 발생.,"Apply Native Image Lazy Loading & Async Decoding in Webtoon Viewer (`WebtoonViewer.vue`). Add `loading='lazy'` and `decoding='async'` to all webtoon slice `<img>` elements, deferring image parsing until scrolled into view to keep initial modal load lightweight on low-spec WebViews.",높음,
247,캐릭터 주식 시장(Stock Market) 거래 모달 내 주가 변동률 뱃지의 미니멀 1줄 바 통합,"주식 거래 모달 상단에 24시간 최고가, 최저가, 거래량, 변동률 뱃지가 사방으로 퍼져 있어 가독성을 저해함.","Compact Stock Market Price Change Badge per design.md (`StockMarketModal.vue`). Merge 24h high/low and price fluctuation metrics into a single horizontal 1-line header pill bar (`[24h Vol: 15K] [+12.5% ▲]`), keeping stock trading modal layouts clean and uncluttered.",중간,
248,전투 진행 중 사운드 효과음(SFX) 오디오 인스턴스 릴리즈(Explicit Audio Unbind) 스케줄링,카드 배치 시 발생하는 SFX 오디오 소스 노드가 재생이 끝난 뒤에도 메모리 스레드에서 해제되지 않아 오디오 메모리가 적재됨.,"Schedule Explicit SFX Source Node Unbinding (`AudioService.js`). Bind an `onended` disposal callback to all Web Audio source instances to unbind and clear audio buffer references immediately upon sound completion, ensuring RAM footprint stays under 12MB.",높음,
249,카드 수집 도감(Codex) 화면 내 수집률 달성 보상 안내 모달의 1줄 컴팩트 뱃지 정돈,도감 상단에 위치한 '수집 달성도 보상 상자'와 게이지 바가 수직으로 길게 열려 있어 실제 카드 그리드가 세로로 밀림.,"Streamline Codex Collection Milestone Rewards Bar per design.md (`CardCodexView.vue`). Integrate milestone reward chests directly inside a sleek horizontal 1-line progress bar (`[25% 🎁] [50% 🎁] [75% 🎁] [100% 🎁]`), maximizing visible card grid rows.",중간,
250,메인 로비/마이덱 카드 타일 이미지 호버 시 적용된 CSS filter: brightness(1.1) drop-shadow() 실시간 필터 계산 제거,카드 호버/탭 시 이미지에 적용된 CSS filter가 실시간 재계산되면서 저사양 기기에서 터치 지연을 유발함.,"Remove Dynamic CSS Filter Shaders on Card Hover (`CardTile.vue`). Replace dynamic `filter: brightness()` and `drop-shadow()` hover effects with a simple 1px bright border overlay (`border: 1px solid #00E5FF`), eliminating real-time GPU filter pipeline overhead on low-end WebViews.",높음,
251,카드 스킬 노드 강화 트리 화면의 '스킬 노드 레벨업 비용' 안내 아이콘 패널의 미니멀 1줄 바 정돈,"스킬 포인트 투자 시 소모 포인트, 현재 레벨, 강화 후 예상 능력치가 수직 박스로 펼쳐져 있어 스킬 트리 시야를 가림.","Compact Skill Node Upgrade Cost Panel per design.md (`SkillNodeTree.vue`). Merge skill point cost and stat preview into a single horizontal 1-line control pill (`[Cost: 2 SP | LV 3 ➔ 4] [ Upgrade ]`), keeping the skill tree layout clean and uncluttered.",중간,
252,스토리 모드 웹툰 뷰어 스크롤 이동 시 이전 챕터 이미지 스프라이트 인스턴스 자동 언로드(Unload),에피소드 웹툰을 넘겨볼 때 이전 챕터의 이미지 리소스들이 메모리에서 해제되지 않고 상재하여 RAM 소모가 누적됨.,"Purge Unreferenced Chapter Image Resources (`WebtoonViewer.vue`). Explicitly unload and release image element memory buffers for previously completed chapters upon advancing to the next webtoon chapter, maintaining RAM footprint below 80MB.",높음,
253,퀘스트 / 업적 모달 내부 '주간 미션' 달성률 상단의 미니멀 1줄 요약 바 정돈,"주간 미션' 탭 진입 시 상단에 주간 누적 점수, 보상 상자, 카운트다운 박스가 크게 배치되어 미션 카드 목록이 눌림.","Consolidate Weekly Mission Progress Banner per design.md (`QuestModal.vue`). Integrate weekly completion points, reset countdown timers, and reward chest icons into a single compact top header pill, expanding visible space for weekly mission rows.",중간,
254,메인 로비/상점/마이덱 메뉴 탭 전환 시 CSS transform: translate3d() 애니메이션 연출을 단순 2D Opacity 페이드(Fade)로 고정,메뉴 탭 전환 시 3D GPU 수평 슬라이드 트랜지션이 구형 안드로이드 WebView에서 화면 재계산 지연을 유발하여 탭 스위칭 터치 반응이 둔해짐.,"Fix View Tab Transitions to Simple 2D Opacity Cross-Fade (`AppLayout.vue`). Force all view transitions to use a fast 100ms 2D opacity cross-fade, bypassing complex 3D GPU layer sliding to ensure instant tab switching across all low-end mobile devices.",높음,
255,캐릭터 주식 거래 모달 내부 호가창 및 체결 내역 리스트의 1줄 미니멀 행 레이아웃 정돈,최근 체결 내역 및 실시간 호가창 테이블의 행 간격이 넓고 대형 서식으로 배치되어 매수/매도 수량 입력창을 아래로 밀어냄.,"Compact Stock Market Order Book Table Rows per design.md (`StockMarketModal.vue`). Reduce order book row padding to a single compact line showing Price and Volume, keeping order execution controls fully visible without vertical scrolling.",중간,
256,스토리 모드 대화 모달 진입 시 인게임 배경음악(BGM) 오디오 컨텍스트 일시정지(suspend()),스토리 대화 모달 진입 시 백그라운드 BGM 스트림과 대화 효과음 오디오 컨텍스트가 동시에 구동되어 저사양 기기에서 오디오 스레드 메모리 오버헤드가 발생함.,"Suspend Background BGM Processing during Dialogue Overlay (`AudioService.js`). Pause main background music audio context processing when dialogue overlays are active, reducing client CPU/audio thread load on low-spec WebViews.",중간,
257,카드 수집 도감(Codex) 화면 내 속성별 수집률 미니 뱃지의 1줄 헤더 필 통합,"수속성, 화속성, 지속성, 풍속성별 개별 달성률 수치 뱃지가 수평으로 넓게 늘어서 있어 도감 카드 그리드 목록 영역이 눌림.","Consolidate Element Codex Progress Badges per design.md (`CardCodexView.vue`). Group individual element progress badges into a single compact top header pill (`[Collection 45/100 ▾]`), expanding visible card grid rows.",중간,
258,메인 로비/상점 탭 전환 시 CSS will-change: opacity 동적 스케줄링 및 상시 할당 해제,뷰 트랜지션 시 모든 서브 뷰 컨테이너에 will-change 속성이 상시 부여되어 있어 VRAM 메모리가 지속 점유됨.,"Schedule View Transition Layer Promotion (`AppLayout.vue`). Programmatically attach `will-change: opacity` to route containers only during active 100ms tab transitions and revoke it on `transitionend`, keeping GPU compositor VRAM lean.",높음,
259,퀘스트 / 업적 모달 내부 일일 미션 보상 상자 아이콘의 미니멀 1줄 컴팩트 뱃지 정돈,미션 달성 보상 선물 상자가 화려하게 흔들리는 애니메이션과 박스로 노출되어 미션 제목 가독성이 떨어짐.,"Streamline Quest Reward Chest Icons per design.md (`QuestModal.vue`). Replace animated multi-layer chest icons on quest rows with a clean, static glowing chest pill badge (`[🎁 Claim Reward]`), keeping mission rows visually uncluttered.",중간,
260,스토리 대화 모달 닫기 시 등장인물 스탠딩 이미지 디코딩 메모리 즉시 릴리즈 (Image.src = ''),스토리 모달을 열어 대사를 읽은 후 모달을 닫았을 때 고해상도 이미지의 DOM src 연결이 남아있어 RAM 소모가 유지됨.,Purge Dialogue Character Standee Memory on Modal Close (`StoryDialogueModal.vue`). Explicitly clear `img.src = ''` and revoke object URLs for character standing avatars upon closing the dialogue modal to immediately reclaim client RAM.,높음,
261,캐릭터 주식 시장(Stock Market) 매수/매도 확정 팝업 내부 소모 수수료 및 예상 정산액의 미니멀 1줄 요약 바 통합,"매수/매도 최종 확인 모달에서 단가, 수량, 수수료, 최종 정산 금액이 4줄로 길게 나열되어 확인 버튼이 하단으로 밀림.","Compact Stock Order Confirmation Breakdown per design.md (`StockMarketModal.vue`). Merge unit price, quantity, and estimated trading fee into a single sleek horizontal 1-line summary bar (`[Qty: 10 | Fee: 5 SNS | Total: 1,005 SNS]`), ensuring the 'Confirm Order' button is cleanly centered.",중간,
262,메인 로비/상점 탭 전환 시 CSS will-change: opacity 동적 스케줄링 및 상시 할당 해제,메인 메뉴 탭 뷰 트랜지션 시 모든 서브 뷰 컨테이너에 will-change 속성이 상시 부여되어 있어 VRAM 메모리가 지속 점유됨.,"Schedule View Transition Layer Promotion (`AppLayout.vue`). Programmatically attach `will-change: opacity` to route containers only during active 100ms tab transitions and revoke it on `transitionend`, keeping GPU compositor VRAM lean.",높음,
263,퀘스트 / 업적 모달 내부 일일 미션 보상 상자 아이콘의 미니멀 1줄 컴팩트 뱃지 정돈,일일 미션 달성 보상 선물 상자가 화려하게 흔들리는 애니메이션과 박스로 노출되어 가독성이 떨어짐.,"Streamline Quest Reward Chest Icons per design.md (`QuestModal.vue`). Replace animated multi-layer chest icons on quest rows with a clean, static glowing chest pill badge (`[🎁 Claim Reward]`), keeping mission rows visually uncluttered.",중간,
264,스토리 대화 모달 닫기 시 등장인물 스탠딩 이미지 디코딩 메모리 즉시 릴리즈 (Image.src = ''),대화 모달을 열어 인물 대사를 읽은 후 모달을 닫았을 때 스탠딩 이미지의 DOM src 연결이 남아있어 모바일 RAM 점유율이 높게 유지됨.,Purge Dialogue Character Standee Memory on Modal Close (`StoryDialogueModal.vue`). Explicitly clear `img.src = ''` and revoke object URLs for character standing avatars upon closing the dialogue modal to immediately reclaim client RAM.,높음,
265,캐릭터 주식 시장(Stock Market) 매수/매도 확정 팝업 내부 소모 수수료 및 예상 정산액의 미니멀 1줄 요약 바 통합,"매수/매도 최종 확인 모달에서 단가, 수량, 예상 수수료, 최종 정산 금액이 4줄로 길게 나열되어 확인 버튼이 하단으로 밀림.","Compact Stock Order Confirmation Breakdown per design.md (`StockMarketModal.vue`). Merge unit price, quantity, and estimated trading fee into a single sleek horizontal 1-line summary bar (`[Qty: 10 | Fee: 5 SNS | Total: 1,005 SNS]`), ensuring the 'Confirm Order' button is cleanly centered.",중간,
266,메인 로비/상점 탭 전환 시 CSS will-change: opacity 동적 스케줄링 및 상시 할당 해제,메인 메뉴 탭 뷰 트랜지션 시 모든 서브 뷰 컨테이너에 will-change 속성이 상시 부여되어 있어 VRAM 메모리가 지속 점유됨.,"Schedule View Transition Layer Promotion (`AppLayout.vue`). Programmatically attach `will-change: opacity` to route containers only during active 100ms tab transitions and revoke it on `transitionend`, keeping GPU compositor VRAM lean.",높음,
267,퀘스트 / 업적 모달 내부 일일 미션 보상 상자 아이콘의 미니멀 1줄 컴팩트 뱃지 정돈,일일 미션 달성 보상 선물 상자가 화려하게 흔들리는 애니메이션과 박스로 노출되어 가독성이 떨어짐.,"Streamline Quest Reward Chest Icons per design.md (`QuestModal.vue`). Replace animated multi-layer chest icons on quest rows with a clean, static glowing chest pill badge (`[🎁 Claim Reward]`), keeping mission rows visually uncluttered.",중간,
268,스토리 대화 모달 닫기 시 등장인물 스탠딩 이미지 디코딩 메모리 즉시 릴리즈 (Image.src = ''),대화 모달을 열어 인물 대사를 읽은 후 모달을 닫았을 때 스탠딩 이미지의 DOM src 연결이 남아있어 모바일 RAM 점유율이 높게 유지됨.,Purge Dialogue Character Standee Memory on Modal Close (`StoryDialogueModal.vue`). Explicitly clear `img.src = ''` and revoke object URLs for character standing avatars upon closing the dialogue modal to immediately reclaim client RAM.,높음,
269,캐릭터 주식 시장(Stock Market) 매수/매도 확정 팝업 내부 소모 수수료 및 예상 정산액의 미니멀 1줄 요약 바 통합,"매수/매도 최종 확인 모달에서 단가, 수량, 예상 수수료, 최종 정산 금액이 4줄로 길게 나열되어 확인 버튼이 하단으로 밀림.","Compact Stock Order Confirmation Breakdown per design.md (`StockMarketModal.vue`). Merge unit price, quantity, and estimated trading fee into a single sleek horizontal 1-line summary bar (`[Qty: 10 | Fee: 5 SNS | Total: 1,005 SNS]`), ensuring the 'Confirm Order' button is cleanly centered.",중간,
270,메인 로비/마이덱 메뉴 탭 이동 시 CSS box-shadow 애니메이션 트랜지션 해제 및 정적 단색 테두리 적용,메뉴 탭 전환 시 탭 버튼의 선택 테두리에 부드럽게 퍼지는 box-shadow 트랜지션이 스위칭 동작 중 마이크로 스터터링을 유발함.,"Remove Active Tab Box-Shadow Transitions (`BottomNav.vue`). Replace dynamic `box-shadow` blur transitions on selected menu tabs with a static 1px bright cyan border (`border: 1px solid #00E5FF`), ensuring instant 60fps tab highlight toggling on low-spec mobile WebViews.",높음,
271,카드 수집 도감(Codex) 화면 내 '수집 진행도(Collection Progress)' 미니멀 1줄 헤더 통합,"도감 진입 시 총 보유 카드 수, 수집 퍼센티지, 속성별 수집 현황 뱃지가 수직으로 넓게 공간을 차지하여 도감 목록 보드가 세로로 좁아짐.","Streamline Codex Collection Progress Header per design.md (`CardCodexView.vue`). Compress total collection count and element progress stats into a single horizontal 1-line header pill (`[Collection: 48/100 (48%)]`), maximizing scrollable card grid area.",중간,
272,전투 진행 중 카드 롱 프레스 확대 오버레이 닫기 시 디코딩된 이미지 메타데이터 명시적 메모리 해제,"대전 중 카드를 길게 눌러 확대한 스탯 프리뷰를 본 후 모달을 닫을 때, 확대 이미지의 디코딩된 텍스처 데이터가 즉시 해제되지 않고 메모리에 남아있음.",Unbind Zoomed Card Sprite Textures on Overlay Close (`BattleHand.vue`). Explicitly clear image node references and revoke temporary object URLs upon closing the long-press card zoom modal to immediately reclaim client RAM.,높음,
273,캐릭터 주식 시장(Stock Market) 모달 내 '거래 차트 타임프레임' 선택 버튼의 컴팩트 1줄 세그먼트 스위처 정돈,주식 거래 모달에서 차트 조회 기간 선택 버튼이 차트 상단에 크고 넓은 버튼으로 나열되어 있어 차트 영역 가독성을 저해함.,"Compact Stock Chart Timeline Controls per design.md (`StockMarketModal.vue`). Group chart timeframe selectors into a single sleek 1-line Segmented Pill Controller (`[ 1D | 1W | 1M | All ]`), keeping chart viewports clean and uncluttered.",중간,
274,메인 로비/상점 탭 전환 시 CSS will-change: opacity 동적 스케줄링 및 상시 할당 해제,메인 메뉴 탭 뷰 트랜지션 시 모든 서브 뷰 컨테이너에 will-change 속성이 상시 부여되어 있어 VRAM 메모리가 지속 점유됨.,"Schedule View Transition Layer Promotion (`AppLayout.vue`). Programmatically attach `will-change: opacity` to route containers only during active 100ms tab transitions and revoke it on `transitionend`, keeping GPU compositor VRAM lean.",높음,
275,퀘스트 / 업적 모달 내부 일일 미션 보상 상자 아이콘의 미니멀 1줄 컴팩트 뱃지 정돈,일일 미션 달성 보상 선물 상자가 화려하게 흔들리는 애니메이션과 박스로 노출되어 가독성이 떨어짐.,"Streamline Quest Reward Chest Icons per design.md (`QuestModal.vue`). Replace animated multi-layer chest icons on quest rows with a clean, static glowing chest pill badge (`[🎁 Claim Reward]`), keeping mission rows visually uncluttered.",중간,
276,스토리 대화 모달 닫기 시 등장인물 스탠딩 이미지 디코딩 메모리 즉시 릴리즈 (Image.src = ''),대화 모달을 열어 인물 대사를 읽은 후 모달을 닫았을 때 스탠딩 이미지의 DOM src 연결이 남아있어 모바일 RAM 점유율이 높게 유지됨.,Purge Dialogue Character Standee Memory on Modal Close (`StoryDialogueModal.vue`). Explicitly clear `img.src = ''` and revoke object URLs for character standing avatars upon closing the dialogue modal to immediately reclaim client RAM.,높음,
277,캐릭터 주식 시장(Stock Market) 매수/매도 확정 팝업 내부 소모 수수료 및 예상 정산액의 미니멀 1줄 요약 바 통합,"매수/매도 최종 확인 모달에서 단가, 수량, 예상 수수료, 최종 정산 금액이 4줄로 길게 나열되어 확인 버튼이 하단으로 밀림.","Compact Stock Order Confirmation Breakdown per design.md (`StockMarketModal.vue`). Merge unit price, quantity, and estimated trading fee into a single sleek horizontal 1-line summary bar (`[Qty: 10 | Fee: 5 SNS | Total: 1,005 SNS]`), ensuring the 'Confirm Order' button is cleanly centered.",중간,
278,메인 로비/마이덱 메뉴 탭 이동 시 CSS box-shadow 애니메이션 트랜지션 해제 및 정적 단색 테두리 적용,메뉴 탭 전환 시 탭 버튼의 선택 테두리에 부드럽게 퍼지는 box-shadow 트랜지션이 스위칭 동작 중 마이크로 스터터링을 유발함.,"Remove Active Tab Box-Shadow Transitions (`BottomNav.vue`). Replace dynamic `box-shadow` blur transitions on selected menu tabs with a static 1px bright cyan border (`border: 1px solid #00E5FF`), ensuring instant 60fps tab highlight toggling on low-spec mobile WebViews.",높음,
279,카드 수집 도감(Codex) 화면 내 '수집 진행도(Collection Progress)' 미니멀 1줄 헤더 통합,"도감 진입 시 총 보유 카드 수, 수집 퍼센티지, 속성별 수집 현황 뱃지가 수직으로 넓게 공간을 차지하여 도감 목록 보드가 세로로 좁아짐.","Streamline Codex Collection Progress Header per design.md (`CardCodexView.vue`). Compress total collection count and element progress stats into a single horizontal 1-line header pill (`[Collection: 48/100 (48%)]`), maximizing scrollable card grid area.",중간,
280,전투 진행 중 카드 롱 프레스 확대 오버레이 닫기 시 디코딩된 이미지 메타데이터 명시적 메모리 해제,"대전 중 카드를 길게 눌러 확대한 스탯 프리뷰를 본 후 모달을 닫을 때, 확대 이미지의 디코딩된 텍스처 데이터가 즉시 해제되지 않고 메모리에 남아있음.",Unbind Zoomed Card Sprite Textures on Overlay Close (`BattleHand.vue`). Explicitly clear image node references and revoke temporary object URLs upon closing the long-press card zoom modal to immediately reclaim client RAM.,높음,
281,캐릭터 주식 시장(Stock Market) 모달 내 '거래 차트 타임프레임' 선택 버튼의 컴팩트 1줄 세그먼트 스위처 정돈,주식 거래 모달에서 차트 조회 기간 선택 버튼이 차트 상단에 크고 넓은 버튼으로 나열되어 있어 차트 영역 가독성을 저해함.,"Compact Stock Chart Timeline Controls per design.md (`StockMarketModal.vue`). Group chart timeframe selectors into a single sleek 1-line Segmented Pill Controller (`[ 1D | 1W | 1M | All ]`), keeping chart viewports clean and uncluttered.",중간,
282,메인 로비/상점 카드 타일 이미지 호버 시 적용된 CSS filter: brightness(1.1) 오버레이 가공 제거 및 정적 1px 단색 테두리 하이라이트 전환,카드 호버/탭 시 이미지에 적용된 CSS filter가 실시간 재계산되면서 저사양 기기에서 터치 지연을 유발함.,"Remove Real-Time CSS Filters on Card Hover (`CardTile.vue`). Replace dynamic `filter: brightness(1.1)` hover effects with a simple 1px bright cyan border overlay (`border: 1px solid #00E5FF`), eliminating real-time GPU filter pipeline overhead on low-end WebViews.",높음,
283,퀘스트 / 업적 모달 내부 '주간 미션' 달성률 상단의 미니멀 1줄 요약 바 정돈,"주간 미션' 탭 진입 시 상단에 주간 누적 점수, 보상 상자, 카운트다운 박스가 크게 배치되어 미션 카드 목록이 눌림.","Consolidate Weekly Mission Progress Banner per design.md (`QuestModal.vue`). Integrate weekly completion points, reset countdown timers, and reward chest icons into a single compact top header pill, expanding visible space for weekly mission rows.",중간,
284,스토리 모드 웹툰 뷰어 스크롤 이동 시 이전 챕터 이미지 스프라이트 인스턴스 자동 언로드(Unload),에피소드 웹툰을 넘겨볼 때 이전 챕터의 이미지 리소스들이 메모리에서 해제되지 않고 상재하여 RAM 소모가 누적됨.,"Purge Unreferenced Chapter Image Resources (`WebtoonViewer.vue`). Explicitly unload and release image element memory buffers for previously completed chapters upon advancing to the next webtoon chapter, maintaining RAM footprint below 80MB.",높음,
285,카드 스킬 노드 강화 트리 화면의 '스킬 노드 레벨업 비용' 안내 아이콘 패널의 미니멀 1줄 바 정돈,"스킬 포인트 투자 시 소모 포인트, 현재 레벨, 강화 후 예상 능력치가 수직 박스로 펼쳐져 있어 스킬 트리 시야를 가림.","Compact Skill Node Upgrade Cost Panel per design.md (`SkillNodeTree.vue`). Merge skill point cost and stat preview into a single horizontal 1-line control pill (`[Cost: 2 SP | LV 3 ➔ 4] [ Upgrade ]`), keeping the skill tree layout clean and uncluttered.",중간,
